"filename", "language", "Vue.js", "XML", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"d:\Projects\vue\nCov-tracker-vue3\src\App.vue", "Vue.js", 65, 0, 0, 0, 0, 2, 11, 78
"d:\Projects\vue\nCov-tracker-vue3\src\api\article.js", "JavaScript", 0, 0, 38, 0, 0, 0, 6, 44
"d:\Projects\vue\nCov-tracker-vue3\src\api\management.js", "JavaScript", 0, 0, 67, 0, 0, 0, 11, 78
"d:\Projects\vue\nCov-tracker-vue3\src\api\notification.js", "JavaScript", 0, 0, 19, 0, 0, 0, 3, 22
"d:\Projects\vue\nCov-tracker-vue3\src\api\statistics.js", "JavaScript", 0, 0, 25, 0, 0, 0, 4, 29
"d:\Projects\vue\nCov-tracker-vue3\src\api\user.js", "JavaScript", 0, 0, 53, 0, 0, 0, 8, 61
"d:\Projects\vue\nCov-tracker-vue3\src\assets\imgs\article\Pencil.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"d:\Projects\vue\nCov-tracker-vue3\src\assets\imgs\menuClose.svg", "XML", 0, 2, 0, 0, 0, 0, 0, 2
"d:\Projects\vue\nCov-tracker-vue3\src\assets\imgs\menuOpen.svg", "XML", 0, 2, 0, 0, 0, 0, 0, 2
"d:\Projects\vue\nCov-tracker-vue3\src\assets\json\china.json", "JSON", 0, 0, 0, 0, 27295, 0, 0, 27295
"d:\Projects\vue\nCov-tracker-vue3\src\components\CButton.vue", "Vue.js", 61, 0, 0, 0, 0, 0, 9, 70
"d:\Projects\vue\nCov-tracker-vue3\src\components\CDialog.vue", "Vue.js", 104, 0, 0, 0, 0, 1, 11, 116
"d:\Projects\vue\nCov-tracker-vue3\src\components\article\ArticleTimeline.vue", "Vue.js", 172, 0, 0, 0, 0, 5, 20, 197
"d:\Projects\vue\nCov-tracker-vue3\src\components\article\Card.vue", "Vue.js", 30, 0, 0, 0, 0, 0, 6, 36
"d:\Projects\vue\nCov-tracker-vue3\src\components\chart\China.vue", "Vue.js", 107, 0, 0, 0, 0, 6, 8, 121
"d:\Projects\vue\nCov-tracker-vue3\src\components\chart\GrowthTrend.vue", "Vue.js", 109, 0, 0, 0, 0, 3, 7, 119
"d:\Projects\vue\nCov-tracker-vue3\src\components\location\Insert.vue", "Vue.js", 103, 0, 0, 0, 0, 1, 10, 114
"d:\Projects\vue\nCov-tracker-vue3\src\components\observation\Insert.vue", "Vue.js", 277, 0, 0, 0, 0, 1, 13, 291
"d:\Projects\vue\nCov-tracker-vue3\src\components\observation\info\BaseInfo.vue", "Vue.js", 339, 0, 0, 0, 0, 3, 13, 355
"d:\Projects\vue\nCov-tracker-vue3\src\components\observation\info\Faker.vue", "Vue.js", 56, 0, 0, 0, 0, 0, 7, 63
"d:\Projects\vue\nCov-tracker-vue3\src\components\observation\info\PcrRecord.vue", "Vue.js", 123, 0, 0, 0, 0, 1, 9, 133
"d:\Projects\vue\nCov-tracker-vue3\src\components\observation\info\Situation.vue", "Vue.js", 21, 0, 0, 0, 0, 0, 4, 25
"d:\Projects\vue\nCov-tracker-vue3\src\components\report\CityReport.vue", "Vue.js", 159, 0, 0, 0, 0, 0, 19, 178
"d:\Projects\vue\nCov-tracker-vue3\src\components\report\Domestic.vue", "Vue.js", 143, 0, 0, 0, 0, 0, 11, 154
"d:\Projects\vue\nCov-tracker-vue3\src\components\visualization\IncreasedProportion.vue", "Vue.js", 66, 0, 0, 0, 0, 0, 8, 74
"d:\Projects\vue\nCov-tracker-vue3\src\index.css", "CSS", 0, 0, 0, 5, 0, 0, 0, 5
"d:\Projects\vue\nCov-tracker-vue3\src\main.js", "JavaScript", 0, 0, 26, 0, 0, 0, 4, 30
"d:\Projects\vue\nCov-tracker-vue3\src\router\index.js", "JavaScript", 0, 0, 114, 0, 0, 0, 4, 118
"d:\Projects\vue\nCov-tracker-vue3\src\store\index.js", "JavaScript", 0, 0, 31, 0, 0, 0, 4, 35
"d:\Projects\vue\nCov-tracker-vue3\src\utils\axios.js", "JavaScript", 0, 0, 34, 0, 0, 11, 6, 51
"d:\Projects\vue\nCov-tracker-vue3\src\utils\utils.js", "JavaScript", 0, 0, 113, 0, 0, 3, 4, 120
"d:\Projects\vue\nCov-tracker-vue3\src\views\404.vue", "Vue.js", 43, 0, 0, 0, 0, 0, 7, 50
"d:\Projects\vue\nCov-tracker-vue3\src\views\Accounts.vue", "Vue.js", 170, 0, 0, 0, 0, 2, 11, 183
"d:\Projects\vue\nCov-tracker-vue3\src\views\Index.vue", "Vue.js", 324, 0, 0, 0, 0, 9, 32, 365
"d:\Projects\vue\nCov-tracker-vue3\src\views\Notification.vue", "Vue.js", 105, 0, 0, 0, 0, 2, 12, 119
"d:\Projects\vue\nCov-tracker-vue3\src\views\Public.vue", "Vue.js", 71, 0, 0, 0, 0, 0, 9, 80
"d:\Projects\vue\nCov-tracker-vue3\src\views\article\Article.vue", "Vue.js", 90, 0, 0, 0, 0, 2, 9, 101
"d:\Projects\vue\nCov-tracker-vue3\src\views\article\Editor.vue", "Vue.js", 172, 0, 0, 0, 0, 13, 17, 202
"d:\Projects\vue\nCov-tracker-vue3\src\views\article\Preview.vue", "Vue.js", 40, 0, 0, 0, 0, 0, 9, 49
"d:\Projects\vue\nCov-tracker-vue3\src\views\management\Info.vue", "Vue.js", 108, 0, 0, 0, 0, 1, 11, 120
"d:\Projects\vue\nCov-tracker-vue3\src\views\management\Location.vue", "Vue.js", 170, 0, 0, 0, 0, 4, 18, 192
"d:\Projects\vue\nCov-tracker-vue3\src\views\management\Observation.vue", "Vue.js", 345, 0, 0, 0, 0, 4, 20, 369
"d:\Projects\vue\nCov-tracker-vue3\src\views\management\Relationship.vue", "Vue.js", 126, 0, 0, 0, 0, 3, 9, 138
"d:\Projects\vue\nCov-tracker-vue3\src\views\public\PublicArticle.vue", "Vue.js", 59, 0, 0, 0, 0, 2, 6, 67
"d:\Projects\vue\nCov-tracker-vue3\src\views\public\Report.vue", "Vue.js", 125, 0, 0, 0, 0, 1, 12, 138
"d:\Projects\vue\nCov-tracker-vue3\src\views\public\Visualization.vue", "Vue.js", 415, 0, 0, 0, 0, 10, 50, 475
"d:\Projects\vue\nCov-tracker-vue3\src\views\user\ChangePwd.vue", "Vue.js", 203, 0, 0, 0, 0, 1, 17, 221
"d:\Projects\vue\nCov-tracker-vue3\src\views\user\Login.vue", "Vue.js", 149, 0, 0, 0, 0, 0, 19, 168
"d:\Projects\vue\nCov-tracker-vue3\src\views\user\Signup.vue", "Vue.js", 243, 0, 0, 0, 0, 0, 20, 263
"Total", "-", 4893, 5, 520, 5, 27295, 91, 508, 33317